Shopping,Area por m2,City,State
ÁGUAS CLARAS SHOPPING,12626,Brasília , DF
ÁGUAS LINDAS SHOPPING,67788,Águas Lindas de Goiás , GO
ALAMEDA JUIZ DE FORA,12437,Juiz de Fora , MG
ALAMEDA SHOPPING,4807,Brasília , DF
ALPHA SQUARE MALL,0,Barueri , SP
ALTO DA XV MALL,16803,Curitiba , PR
AMAPÁ GARDEN SHOPPING,69353,Macapá , AP
AMAZONAS SHOPPING CENTER,63042,Manaus , AM
AMÉRICAS SHOPPING,35000,Rio de Janeiro , RJ
ANASHOPPING,50000,Anápolis , GO
ANCHIETA GARDEN SHOPPING,6039,Belo Horizonte , MG
ANHANGUERA PARQUE SHOPPING,65521,Cajamar , SP
APARECIDA SHOPPING,52134,Aparecida de Goiânia , GO
ARACAJU PARQUE SHOPPING,37000,Aracaju , SE
ARAÇATUBA SHOPPING CENTER,13194,Araçatuba , SP
ARAGUAIA SHOPPING,89264,Goiânia , GO
ATRIUM SHOPPING SANTO ANDRÉ,15080,Santo André , SP
AURORA SHOPPING,9179,Londrina , PR
BALNEÁRIO SHOPPING,58139,Balneário Camboriú , SC
BANGU SHOPPING,137756,Rio de Janeiro , RJ
BARBACENA SHOPPING CENTER,0,Barbacena , MG
BARRA CENTER SHOPPING,36000,Barra do Garças , MT
BARRA GARDEN SHOPPING,14873,Rio de Janeiro , RJ
BARRASHOPPING,165386,Rio de Janeiro , RJ
BARRASHOPPINGSUL,187874,Porto Alegre , RS
BAURU SHOPPING CENTER,30177,Bauru , SP
BEBEDOURO SHOPPING CENTER,90974,Bebedouro , SP
BEIRAMAR SHOPPING,45000,Florianópolis , SC
BELLA CITTÀ SHOPPING CENTER,7500,Passo Fundo , RS
BETIM SHOPPING,20787,Betim , MG
BH SHOPPING,62138,Belo Horizonte , MG
BIG SHOPPING,48650,Contagem , MG
BOAVISTA SHOPPING,34872,São Paulo , SP
BOSSA NOVA MALL,13217,Rio de Janeiro , RJ
BOTAFOGO PRAIA SHOPPING,5703,Rio de Janeiro , RJ
BOULEVARD ASSIS BRASIL,17995,Porto Alegre , RS
BOULEVARD CENTER MURIAÉ,0,Muriaé , MG
BOULEVARD CIDADE BOTUCATU,7630,Botucatu , SP
BOULEVARD LONDRINA SHOPPING,80000,Londrina , PR
BOULEVARD MARICÁ,7173,Maricá , RJ
BOULEVARD SHOPPING BAURU,51383,Bauru , SP
BOULEVARD SHOPPING BELÉM,16438,Belém , PA
BOULEVARD SHOPPING BELO HORIZONTE,25777,Belo Horizonte , MG
BOULEVARD SHOPPING BRASÍLIA,48829,Brasília , DF
BOULEVARD SHOPPING CAMAÇARI,70000,Camaçari , BA
BOULEVARD SHOPPING CAMPOS,151652,Campos dos Goytacazes , RJ
BOULEVARD SHOPPING FEIRA DE SANTANA,85886,Feira de Santana , BA
BOULEVARD SHOPPING MOGI GUAÇU,103000,Mogi Guaçu , SP
BOULEVARD SHOPPING VILA VELHA,118762,Vila Velha , ES
BOULEVARD SHOPPING VITÓRIA DA CONQUISTA,200000,Vitória da Conquista , BA
BOURBON CANOAS,37946,Canoas , RS
BOURBON PASSO FUNDO,46004,Passo Fundo , RS
BOURBON SHOPPING ASSIS BRASIL,100058,Porto Alegre , RS
BOURBON SHOPPING COUNTRY,44579,Porto Alegre , RS
BOURBON SHOPPING IPIRANGA,37755,Porto Alegre , RS
BOURBON SHOPPING NOVO HAMBURGO,13801,Novo Hamburgo , RS
BOURBON SHOPPING SAN PELLEGRINO,9880,Caxias do Sul , RS
BOURBON SHOPPING SÃO LEOPOLDO,9632,São Leopoldo , RS
BOURBON SHOPPING SÃO PAULO,33081,São Paulo , SP
BOURBON SHOPPING TERESÓPOLIS,13717,Porto Alegre , RS
BOURBON SHOPPING WALLIG,33824,Porto Alegre , RS
BRAGANÇA SHOPPING CENTER,69352,Bragança Paulista , SP
BRASIL CENTER SHOPPING,25151,Valparaíso de Goiás , GO
BRASIL PARK SHOPPING,30750,Anápolis , GO
BRASÍLIA SHOPPING,14400,Brasília , DF
BRAVAMALL,18000,Itajaí , SC
BRISAMAR SHOPPING,8514,São Vicente , SP
BUENA VISTA SHOPPING,6475,Goiânia , GO
BURITI SHOPPING,67679,Aparecida de Goiânia , GO
BURITI SHOPPING GUARÁ,34376,Guaratinguetá , SP
BURITI SHOPPING MOGI GUAÇU,169076,Mogi Guaçu , SP
BURITI SHOPPING RIO VERDE,80058,Rio Verde , GO
BUTANTÃ SHOPPING,53926,São Paulo , SP
CALÇADÃO PRAIA SHOPPING,7045,Itapema , SC
CAMARÁ SHOPPING,109152,Camaragibe , PE
CAMPINAS SHOPPING CENTER,80784,Campinas , SP
CANOAS SHOPPING,64690,Canoas , RS
CANTAREIRA NORTE SHOPPING,75000,São Paulo , SP
CAPIM DOURADO SHOPPING,93203,Palmas , TO
CARIOCA SHOPPING,56633,Rio de Janeiro , RJ
CARIRI SHOPPING,51137,Juazeiro do Norte , CE
CARUARU SHOPPING,120000,Caruaru , PE
CASA & GOURMET SHOPPING,18752,Rio de Janeiro , RJ
CASAPARK SHOPPING CENTER,30000,Brasília , DF
CASASHOPPING,74450,Rio de Janeiro , RJ
CASCAVEL JL SHOPPING,28221,Cascavel , PR
CASTANHEIRA SHOPPING CENTER,33050,Belém , PA
CATALÃO SHOPPING,21213,Catalão , GO
CATARATAS JL SHOPPING,13811,Foz do Iguaçu , PR
CATUAÍ PALLADIUM SHOPPING CENTER,100000,Foz do Iguaçu , PR
CATUAÍ SHOPPING CENTER LONDRINA,161725,Londrina , PR
CATUAÍ SHOPPING MARINGÁ,135482,Maringá , PR
CAXIAS SHOPPING,90247,Duque de Caxias , RJ
CAXIAS SHOPPING CENTER,76281,Caxias , MA
CENTER SHOPPING (RJ),8533,Rio de Janeiro , RJ
CENTER SHOPPING UBERLÂNDIA,94231,Uberlândia , MG
CENTERVALE SHOPPING,111036,São José dos Campos , SP
CENTRAL PLAZA SHOPPING CENTER,99000,São Paulo , SP
CENTRO COMERCIAL ARICANDUVA,1000000,São Paulo , SP
COCAIS SHOPPING,43000,Timon , MA
COLINAS SHOPPING,80858,São José dos Campos , SP
COLOMBO PARK SHOPPING,24108,Colombo , PR
COMTOUR LONDRINA SHOPPING CENTER,17000,Londrina , PR
CONTINENTAL SHOPPING,46612,São Paulo , SP
CONTINENTE SHOPPING,132724,São José , SC
CRICIÚMA SHOPPING CENTER,2583760,Criciúma , SC
D&D DECORAÇÃO E DESIGN CENTER,166378,São Paulo , SP
DC SHOPPING,45588,Porto Alegre , RS
DF PLAZA SHOPPING,25726,Brasília , DF
DIAMONDMALL,13352,Belo Horizonte , MG
DUTRA 107 TAUBATÉ,0,Taubaté , SP
ECO VALLE SHOPPING,319139,Lorena , SP
ESMERALDA SHOPPING,8967,Marília , SP
FARO SHOPPING,4200,São José dos Campos , SP
FAROL SHOPPING,70007,Tubarão , SC
FASHION MALL,13546,Rio de Janeiro , RJ
FELICITTÀ SHOPPING,19330,Brasília , DF
FLAMBOYANT SHOPPING CENTER,157314,Goiânia , GO
FLORIPA SHOPPING,27926,Florianópolis , SC
FRANCA SHOPPING CENTER,70000,Franca , SP
FRIBURGO SHOPPING,3651,Nova Friburgo , RJ
GALLERIA SHOPPING,0,Campinas , SP
GARDEN SHOPPING CATANDUVA,30494,Catanduva , SP
GARTEN SHOPPING,75979,joinville , SC
GOIABEIRAS SHOPPING CENTER,15537,Cuiabá , MT
GOIÂNIA SHOPPING,52984,Goiânia , GO
GOLDEN SHOPPING CALHAU,46220,São Luís , MA
GOLDEN SQUARE SHOPPING CENTER,19503,São Bernardo do Campo , SP
GRAND PLAZA SHOPPING,146530,Santo André , SP
GRAND SHOPPING,12946,Fortaleza , CE
GRAVATAÍ SHOPPING CENTER,71163,Gravataí , RS
GUARUS PLAZA SHOPPING,35574,Campos dos Goytacazes , RJ
GV SHOPPING,70000,Governador Valadares , MG
HIPERSHOPPING PETRÓPOLIS,47132,Petrópolis , RJ
IANDÊ SHOPPING CAUCAIA,22489,Caucaia , CE
IGUATEMI BOSQUE,190786,Fortaleza , CE
ILHA PLAZA SHOPPING,9929,Rio de Janeiro , RJ
IMPERIAL SHOPPING,68419,Imperatriz , MA
INDEPENDÊNCIA SHOPPING,32315,Juiz de Fora , MG
INTERNACIONAL SHOPPING,120868,Guarulhos , SP
IPÊ SHOPPING,27000,Mineiros , GO
ITA SHOPPING,2366,Itapevi , SP
ITA SHOPPING VILA NOVA,0,Itapevi , SP
ITABORAÍ PLAZA,63000,Itaboraí , RJ
ITAGUARI SHOPPING CENTER,8430,Santo Antônio de Jesus , BA
ITAJAÍ SHOPPING CENTER,11633,Itajaí , SC
ITAPÊ SHOPPING,37000,Itapetininga , SP
ITAPECERICA SHOPPING,6568,Itapecerica da Serra , SP
ITAPEVI CENTER,29128,Itapevi , SP
ITAQUÁ PARK SHOPPING,79512,Itaquaquecetuba , SP
ITAÚPOWER SHOPPING,36446,Contagem , MG
JACAREÍ SHOPPING CENTER,16378,Jacareí , SP
JARAGUÁ DO SUL PARK SHOPPING,14808,Jaraguá do sul , SC
JARDIM PAMPLONA SHOPPING,11925,São Paulo , SP
JATAHY SHOPPING,76685,Jataí , GO
JAÚ SHOPPING CENTER,6397,Jaú , SP
JK SHOPPING & TOWER,36171,Brasília , DF
JOCKEY PLAZA SHOPPING,91148,Curitiba , PR
JUÁ GARDEN SHOPPING,55000,Juazeiro , BA
JUNDIAÍSHOPPING,45000,Jundiaí , SP
JURERE OPEN SHOPPING,5815,Florianópolis , SC
LAGES SHOPPING CENTER,42212,Lages , SC
LEOPOLDINA SHOPPING,3688,Rio de Janeiro , RJ
LIBERTY MALL,6400,Brasília , DF
LIMEIRA SHOPPING,56033,Limeira , SP
LITORAL PLAZA SHOPPING,290000,Praia Grande , SP
LIV MALL,8000,João Pessoa , PB
LONDRINA NORTE SHOPPING,0,Londrina , PR
LUZIÂNIA SHOPPING,4331,Luziânia , GO
MACAPÁ SHOPPING,14031,Macapá , AP
MACEIÓ SHOPPING,76310,Maceió , AL
MADUREIRA SHOPPING,13008,Rio de Janeiro , RJ
MAG SHOPPING,6000,João Pessoa , PB
MAIS SHOPPING,18084,São Paulo , SP
MANAÍRA SHOPPING,92500,João Pessoa , PB
MANAUARA SHOPPING,62068,Manaus , AM
MANAUS PLAZA SHOPPING,29805,Manaus , AM
MANGABEIRA SHOPPING,85000,João Pessoa , PB
MARANGUAPE SHOPPING MALL,0,Maranguape , CE
MARÍLIA SHOPPING,61000,Marília , SP
MARINGÁ PARK SHOPPING CENTER,5680,Maringá , PR
MARKET PLACE SHOPPING CENTER,0,São Paulo , SP
MASTERPLACE MALL,20207,Vitória , ES
MAUÁ PLAZA SHOPPING,86995,Mauá , SP
MAXI SHOPPING JUNDIAI,87000,Jundiaí , SP
MEGA MODA SHOPPING,10616,Goiânia , GO
MEGA POLO MODA,10500,São Paulo , SP
MIDWAY MALL,68000,Natal , RN
MILLENNIUM SHOPPING MALL,22807,Manaus , AM
MINAS SHOPPING,85772,Belo Horizonte , MG
MIRAMAR SHOPPING CENTER,5328,Santos , SP
